code,nombre,ml_avg,fuente
886336,Sauvage,300000,web 2026 (estimado)
43444,Khamrah,185000,web 2026 (estimado)
920279,Libre,299000,web 2026 (estimado)
204465,Libre Flowers & Flames,299000,web 2026 (estimado)
60960,Libre EDP Intense,300000,web 2026 (estimado)
714493,Black Opium,226065,web 2026 (estimado)
887381,Good Girl,219000,web 2026 (estimado)
905508,J'adore,460000,web 2026 (estimado)
254538,Club de Nuit Intense Man,130000,web 2026 (estimado)
107490,Hawas,61000,web 2026 (estimado)
60937,Y Le Parfum,370000,web 2026 (estimado)
56640,MYSLF,335000,web 2026 (estimado)
