id,nombre,marca,codigo,ml_avg,costo,costo_flete,precio_prev,precio_nuevo,variacion_ars,margen_pct,estado
perfume-0001,Eter Flower,Armaf,84482,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0002,Eter Magical Oud,Armaf,84460,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0003,Eter Night,Armaf,84449,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0004,Eter Oasis,Armaf,84493,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0005,Eter Rose,Armaf,84438,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0006,Eter Star,Armaf,84450,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0007,Flavia Dolce Roma,Armaf,223837,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0008,Flavia Initial,Armaf,223804,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0009,Flavia Jade,Armaf,223770,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0010,Flavia Legende,Armaf,223780,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0011,Flavia Lyft,Armaf,234064,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0012,Flavia Opale Sombre,Armaf,223815,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0013,Flavia Rose&oud,Armaf,223791,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0014,Flavia Viva Roma,Armaf,223826,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0015,Flavia White Gold,Armaf,223860,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0016,Frsh Sure Shot,Armaf,968763,,38065,41110,57600,57600,0,40.1,objetivo
perfume-0017,Hunter,Armaf,976852,,39720,42897,60100,60100,0,40.1,objetivo
perfume-0018,Hunter Intense,Armaf,877550,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0019,Hunter Jungle,Armaf,123130,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0020,Hunter Killer,Armaf,123129,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0021,Infinity Gold,Armaf,198275,,66200,71496,100100,100100,0,40.0,objetivo
perfume-0022,Infinity Silver,Armaf,198365,,66200,71496,100100,100100,0,40.0,objetivo
perfume-0023,Island Bliss,Armaf,206109,,59580,64346,90100,90100,0,40.0,objetivo
perfume-0024,Island Breeze,Armaf,219741,,66200,71496,100100,100100,0,40.0,objetivo
perfume-0025,Ital.vivo,Armaf,846848,,38065,41110,57600,57600,0,40.1,objetivo
perfume-0026,L' Intense,Armaf,29492,,54615,58984,82600,82600,0,40.0,objetivo
perfume-0027,Le Parfait Panache,Armaf,241499,,52960,57196,80100,80100,0,40.0,objetivo
perfume-0028,Legesi,Armaf,877571,,38065,41110,57600,57600,0,40.1,objetivo
perfume-0029,Magnificent Jardin,Armaf,198286,,62890,67921,95100,95100,0,40.0,objetivo
perfume-0030,Magnificent Pour,Armaf,931248,,44685,48259,67600,67600,0,40.1,objetivo
perfume-0031,Match Point,Armaf,215805,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0032,Mignon Red,Armaf,877437,,38065,41110,57600,57600,0,40.1,objetivo
perfume-0033,Mini Cdn,Armaf,101483,,12412,13404,18800,18800,0,40.2,objetivo
perfume-0034,Mini Cdn 2pc X,Armaf,198300,,62890,67921,95100,95100,0,40.0,objetivo
perfume-0035,Mini Cdn Iconic,Armaf,101428,,12412,13404,18800,18800,0,40.2,objetivo
perfume-0036,Mini Cdn Imperiale,Armaf,101417,,12412,13404,18800,18800,0,40.2,objetivo
perfume-0037,Mini Cdn Intense,Armaf,101494,,11585,12511,17550,17550,0,40.3,objetivo
perfume-0038,Mini Cdn Sillage,Armaf,101439,,11585,12511,17550,17550,0,40.3,objetivo
perfume-0039,Mini Cdn Untold,Armaf,101450,,12412,13404,18800,18800,0,40.2,objetivo
perfume-0040,Mini Cdn Urban,Armaf,101507,,12412,13404,18800,18800,0,40.2,objetivo
perfume-0041,Miss Attitude,Armaf,37346,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0042,Miss Catwalk,Armaf,37357,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0043,Miss Chic,Armaf,37368,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0044,Miss Dazzling,Armaf,37379,,41375,44685,62600,62600,0,40.1,objetivo
perfume-0045,Miss Grandeur,Armaf,37380,,41375,44685,62600,62600,0,40.1,objetivo
